Source Text,Translated Text,Context
No favourites yet,Chưa có mục yêu thích nào,Empty State Message
Click on the star icon to favourite an item.,Nhấp vào biểu tượng ngôi sao để yêu thích một mục.,Instruction Message
New Link,Liên kết mới,Dialog Title
Link name,Tên liên kết,Form Placeholder
URL,URL,Form Placeholder
This file already exists.,Tệp này đã tồn tại.,Error Message
Link name is required,Tên liên kết là bắt buộc,Validation Message
Created on,Được tạo vào,Date Label
by,bởi,Author Label
Highlight changes,Làm nổi bật thay đổi,Feature Label
Restore,Khôi phục,Button Label
Create new folder,Tạo thư mục mới,Dialog Title
Create,Tạo,Button Label
Folder name:,Tên thư mục:,Form Label
This folder already exists.,Thư mục này đã tồn tại.,Error Message
Folder name is required,Tên thư mục là bắt buộc,Validation Message
Share,Chia sẻ,Button/Menu
Download,Tải xuống,Button/Menu
Copy Link,Sao chép liên kết,Button/Menu
Move,Di chuyển,Button/Menu
Rename,Đổi tên,Button/Menu
Show Info,Hiển thị thông tin,Button/Menu
Hide Info,Ẩn thông tin,Button/Menu
Favourite,Yêu thích,Button/Menu
Unfavourite,Bỏ yêu thích,Button/Menu
Delete,Xóa,Button/Menu
Clear,Xóa sạch,Button/Menu
Delete — forever.,Xóa — vĩnh viễn.,Button Label
Access,Quyền truy cập,Section Title
Properties,Thuộc tính,Section Title
Frappe Doc,Tài liệu Frappe,Document Type
Versions,Phiên bản,Section Title
New,Mới,Button Label
Typography,Kiểu chữ,Tab Name
Insert,Chèn,Tab Name
Document Settings,Cài đặt Tài liệu,Tab Name
Transforms,Chuyển đổi,Tab Name
Clock,Đồng hồ,Tab Name
Loading...,Đang tải...,Loading Message
Public,Công khai,Access Type
Restricted,Hạn chế,Access Type
General,Chung,Access Category
Shared,Đã chia sẻ,Access Category
 (you), (bạn),Owner Indicator
Add a comment (use @ to mention users),Thêm bình luận (sử dụng @ để đề cập người dùng),Comment Placeholder,Button/Menu
Empty,Trống,Button/Menu
Manage,Quản lý,Button/Menu
My Drive,Tài liệu của tôi,Sidebar
Recent,Gần đây,Sidebar
Favourites,Yêu thích,Sidebar
Teams,Nhóm,Sidebar
Shared with me,Được chia sẻ với tôi,Sidebar
Trash,Thùng rác,Sidebar
Search,Tìm kiếm,Sidebar/Search
Storage,Lưu trữ,Sidebar
Owner,Chủ sở hữu,Property
Type,Sắp xếp,Property
Size,Kích thước,Property
Modified,Đã sửa đổi,Property
Added,Đã thêm,Property
Uploaded,Đã tải lên,Property
Name,Tên,Property
Information,Thông tin,Tab/Section
Properties,Thuộc tính,Tab/Section
Tags,Nhãn,Tab/Section
Sharing,Chia sẻ,Dialog Title
General Access,Quyền truy cập chung,Section Title
Members,Thành viên,Section Title
Add people...,Thêm người...,Input Placeholder
Loading users...,Đang tải người dùng...,Loading Message
No users found,Không tìm thấy người dùng,Error Message
No users available,Không có người dùng nào,Error Message
Access,Quyền truy cập,Select Label
No shares yet.,Chưa có chia sẻ nào.,Empty State Message
Owner (you),Chủ sở hữu (bạn),User Role
You,Bạn,User Indicator
Owner,Chủ sở hữu,User Role
Copy Link,Sao chép liên kết,Button Label
Invite,Mời,Button Label
Can view,Có thể xem,Permission Level
Can edit,Có thể chỉnh sửa,Permission Level
Accessible to invited members,Có thể truy cập với thành viên được mời,Access Option
Accessible to team only,Chỉ nhóm mới có thể truy cập,Access Option
Accessible to all,Tất cả đều có thể truy cập,Access Option
Comments,Bình luận,Tab/Section
Activity,Hoạt động,Tab/Section
Statistics,Thống kê,Tab/Section
Words,Từ,Statistics
Characters,Ký tự,Statistics
Reading Time,Thời gian đọc,Statistics
minutes,phút,Time
minute,phút,Time
person,người,Count
